bull_id,backfat_thickness,ribeye_area,marbling_score,dressing_percentage,subcutaneous_fat,visceral_fat,lean_meat_yield,residual_average_daily_gain,dry_matter_intake,yearling_weight,working_weight,birth_weight,calving_ease_direct,yearling_height,type_of_bull,age_at_collection,mature_height,mature_weight,price_of_semen,bull_name
19,0.5,16.1,3.1,60.4,1.2,0.4,61.7,2.3,0.0,797.3,894.7,87.9,4.8,53.1,Angus,3.1,54.3,1671.0,78.1,Majestic Warrior
20,0.4,17.7,7.3,59.0,1.3,0.6,61.7,2.7,-0.6,636.2,888.5,99.0,1.9,50.7,Simmental,0.6,58.9,1823.1,60.2,Majestic Warlord
21,0.5,15.2,2.8,59.4,1.1,0.3,64.8,1.5,6.8,893.4,776.9,97.5,1.9,53.9,Brangus,3.1,55.1,2639.7,57.5,Majestic Bruiser
22,0.5,16.3,2.8,60.8,1.1,0.3,61.8,2.2,4.2,793.1,913.5,135.0,0.6,54.0,Brangus,5.0,64.1,2186.5,11.4,Majestic Brawler
23,0.6,10.8,3.7,61.3,0.6,0.4,62.6,2.7,0.7,867.9,847.3,88.4,4.7,51.4,Gelbvieh,4.2,59.8,2172.2,41.6,Majestic Gladiator
24,0.6,14.8,7.5,57.6,1.2,0.1,73.0,3.4,2.0,834.0,797.3,109.9,8.9,50.9,Angus,4.1,64.6,2406.7,51.3,Majestic Giant
25,0.4,15.2,3.3,64.1,0.9,0.3,58.7,3.0,3.5,422.5,944.1,47.9,3.1,57.7,Beefmaster,4.2,54.7,2200.4,60.3,Majestic Colossus
26,0.3,11.1,8.0,61.8,0.7,0.1,74.1,2.5,-2.7,1035.2,687.1,76.0,-0.8,58.9,Charolais,4.2,65.9,1823.0,56.5,Majestic Titan
27,0.4,18.5,1.4,60.3,0.9,0.5,62.6,2.8,2.0,918.5,972.5,65.8,4.6,53.1,Brangus,3.7,61.3,2000.5,58.3,Majestic Hulk
28,0.5,12.2,9.2,58.6,0.8,0.3,54.9,2.5,3.8,930.9,902.1,91.7,4.6,50.3,Charolais,3.0,52.7,1978.6,34.3,Majestic Ram
29,0.6,14.8,5.9,58.2,0.9,0.4,61.4,3.2,-0.7,811.9,1051.8,97.0,4.1,51.2,Brangus,2.1,64.9,1427.2,38.6,Majestic Heifer
30,0.3,15.3,1.2,59.1,0.8,0.3,55.1,2.8,1.8,922.7,1061.5,112.9,4.2,52.1,Angus,5.1,62.7,2021.1,55.3,Majestic Buck
31,0.4,13.5,4.4,56.9,1.2,0.3,62.0,1.4,2.1,826.9,929.5,73.0,4.8,55.7,Angus,-0.2,58.9,1891.8,43.6,Dominant Bull
32,0.5,13.0,5.8,58.2,0.7,0.3,63.6,2.6,3.2,821.4,1111.1,110.8,3.8,48.9,Hereford,5.2,61.3,1779.8,57.2,Dominant Stallion
33,0.6,11.9,6.4,54.9,0.4,0.5,63.5,1.8,3.3,895.6,945.9,101.9,5.0,55.7,Hereford,3.4,66.6,2272.3,61.2,Dominant Sire
34,0.4,14.3,9.3,56.2,1.2,0.4,58.0,2.4,2.8,892.8,936.3,90.2,5.5,52.3,Brangus,8.2,63.2,1520.4,60.1,Dominant Male
35,0.4,8.1,7.4,59.6,0.8,0.2,65.9,2.3,1.3,808.5,623.2,75.6,3.1,52.0,Brangus,2.6,56.3,1873.2,55.9,Dominant Bullfighter
36,0.6,17.0,5.4,56.5,0.5,0.3,55.7,2.4,-2.0,640.9,944.3,99.2,3.3,52.6,Limousin,4.1,68.7,2177.2,48.9,Dominant Beast
37,0.4,16.5,8.3,59.0,1.4,0.3,59.9,2.5,5.9,708.2,568.3,79.3,2.0,52.8,Gelbvieh,3.1,58.6,1689.7,56.4,Dominant Brute
38,0.5,13.8,12.7,60.5,1.1,0.2,57.2,1.8,1.6,1068.8,802.8,80.9,7.5,50.7,Angus,4.8,60.7,2083.2,77.2,Dominant Charger
39,0.4,9.8,9.5,60.2,0.7,0.2,56.2,2.4,1.4,601.6,554.6,93.0,1.7,49.7,Limousin,7.9,65.6,1461.9,32.4,Dominant Dominator
40,0.5,17.9,4.9,54.2,1.0,0.2,60.9,2.8,2.2,755.1,1015.9,87.1,2.8,57.0,Gelbvieh,2.7,59.0,1573.0,65.5,Dominant Leader
41,0.5,15.2,5.8,57.2,1.1,0.4,59.5,2.0,1.1,520.3,1139.1,112.9,6.4,53.2,Simmental,2.4,49.8,1953.6,50.4,Dominant Fighter
42,0.6,17.2,8.9,61.1,1.3,0.3,57.3,2.3,2.6,707.0,1252.8,84.8,1.7,50.7,Simmental,6.9,57.7,2122.9,75.3,Dominant Champion
43,0.4,15.3,8.2,59.7,0.7,0.2,56.1,2.7,1.8,888.6,829.4,106.9,3.4,47.6,Hereford,2.3,61.1,2564.1,48.8,Dominant Ruler
44,0.3,13.2,4.8,55.8,1.2,0.4,62.4,2.2,5.7,1036.8,1039.1,83.7,3.9,51.5,Beefmaster,1.4,64.5,2346.9,55.0,Dominant Protector
45,0.4,14.3,6.5,60.7,0.6,0.3,53.0,2.0,4.2,1038.8,796.6,87.4,5.1,54.7,Brangus,3.1,53.2,1855.1,68.0,Dominant Guardian
46,0.5,14.6,5.3,58.8,1.4,0.2,48.0,3.3,1.1,663.4,572.8,97.2,4.2,62.5,Hereford,3.4,53.9,1905.3,51.8,Dominant Alpha
47,0.4,14.3,7.0,54.8,0.8,0.2,63.5,2.6,7.2,184.4,733.4,112.9,1.9,52.0,Simmental,4.7,58.3,1747.0,61.1,Dominant Powerhouse
48,0.5,14.9,7.0,59.0,0.9,0.3,71.4,2.4,0.3,1087.2,1016.1,119.9,4.6,51.7,Charolais,4.5,56.5,1869.2,39.6,Dominant Monster
49,0.4,15.0,2.1,60.6,1.6,0.3,63.8,3.2,2.7,867.7,796.3,41.3,1.2,55.0,Limousin,3.9,57.5,2134.6,63.6,Dominant Warrior
50,0.4,19.4,6.3,61.0,0.4,0.3,58.7,3.0,2.2,670.5,927.7,61.2,2.3,55.9,Angus,3.7,59.1,1667.3,56.9,Dominant Warlord
51,0.5,14.2,7.5,61.5,1.0,0.3,53.6,2.6,1.5,698.5,892.3,97.1,1.2,55.7,Gelbvieh,3.3,55.6,2219.6,45.3,Dominant Bruiser
52,0.5,15.1,6.2,54.6,1.0,0.3,56.3,3.5,2.4,723.3,726.9,93.9,0.9,55.2,Gelbvieh,3.5,59.4,2020.1,65.0,Dominant Brawler
53,0.7,15.3,5.9,59.8,0.7,0.3,54.7,3.6,3.8,491.8,968.2,96.1,5.4,56.2,Brahman,4.4,63.8,2045.8,78.2,Dominant Gladiator
54,0.5,12.5,4.3,58.4,1.2,0.3,59.8,2.2,1.6,784.5,989.0,82.9,3.9,56.2,Angus,4.7,63.8,2118.4,41.6,Dominant Giant
55,0.4,16.8,5.8,59.0,1.4,0.3,54.6,3.2,-0.1,503.6,897.0,104.1,2.2,55.3,Limousin,7.2,57.4,1893.3,53.4,Dominant Colossus
56,0.5,14.6,4.9,61.6,0.9,0.4,62.4,2.6,4.1,956.4,843.3,67.3,1.1,54.1,Gelbvieh,2.3,60.4,1626.1,66.5,Dominant Titan
57,0.6,16.1,5.0,62.3,0.6,0.4,62.6,2.9,1.1,651.0,956.3,111.4,5.9,56.7,Limousin,3.1,50.0,2351.8,50.9,Dominant Hulk
58,0.7,14.8,6.2,58.6,0.9,0.1,56.4,3.0,1.8,796.8,972.3,107.5,4.3,48.6,Beefmaster,3.3,56.7,1713.1,35.3,Dominant Ram
59,0.6,16.6,6.0,62.4,0.3,0.1,65.3,3.9,2.7,992.5,875.1,95.3,1.8,49.6,Santa Gertrudis,2.0,63.5,1612.4,67.8,Dominant Heifer
60,0.3,17.4,5.5,58.8,1.4,0.2,61.5,2.5,3.2,1120.3,1201.7,102.6,2.5,53.5,Hereford,2.7,57.1,2104.9,70.1,Dominant Buck
61,0.6,18.3,5.1,56.6,1.2,0.1,57.8,2.5,1.6,503.2,476.2,89.4,2.2,54.5,Santa Gertrudis,1.5,58.6,1444.7,53.0,Powerful Bull
62,0.5,15.3,10.3,57.3,0.8,0.2,62.2,2.4,4.3,912.5,1093.5,89.6,3.6,53.2,Limousin,3.0,62.8,1676.3,50.0,Powerful Stallion
63,0.6,18.4,2.9,62.6,1.1,0.2,57.1,2.6,3.2,670.3,1035.9,80.2,3.2,55.5,Brahman,2.9,64.4,1288.0,55.4,Powerful Sire
64,0.5,16.1,4.1,60.0,0.7,0.3,59.0,2.7,-0.9,743.4,813.5,82.1,0.5,57.8,Brangus,3.7,64.8,2296.6,55.5,Powerful Male
65,0.5,11.8,1.9,60.8,0.1,0.4,57.9,2.7,-0.2,1243.1,664.4,85.2,1.9,56.2,Santa Gertrudis,3.5,63.3,2079.6,60.1,Powerful Bullfighter
66,0.5,11.7,6.7,60.4,0.3,0.3,59.3,2.3,5.4,550.7,1339.8,83.8,2.4,50.7,Brahman,4.7,65.4,2006.5,34.6,Powerful Beast
67,0.4,17.9,7.1,61.6,0.6,0.2,68.9,3.3,0.8,745.3,749.8,99.2,7.3,51.5,Beefmaster,4.1,56.1,2559.6,68.4,Powerful Brute
68,0.4,13.2,3.8,61.6,0.6,0.3,55.7,2.0,4.6,700.6,1004.3,72.5,4.7,52.9,Brahman,4.4,65.0,2070.0,35.4,Powerful Charger
69,0.5,13.8,6.6,63.3,0.7,0.3,61.8,2.0,5.3,935.3,886.5,134.8,5.7,56.9,Angus,4.7,60.3,1778.2,61.5,Powerful Dominator
70,0.5,14.0,6.6,59.2,0.3,0.4,60.8,2.4,-0.9,655.2,1209.0,80.3,3.6,54.1,Limousin,1.8,63.0,1896.3,50.2,Powerful Leader
71,0.4,14.9,10.4,56.6,0.9,0.3,59.3,3.2,2.4,1013.6,745.8,92.6,6.3,58.9,Charolais,3.1,53.1,1815.2,31.5,Powerful Fighter
72,0.6,12.9,5.3,58.4,0.6,0.4,72.5,3.1,3.3,643.4,950.6,87.6,4.9,51.1,Charolais,3.4,68.0,1673.9,57.0,Powerful Champion
73,0.5,17.2,8.4,66.1,0.8,0.3,55.1,2.3,3.3,1064.8,795.2,81.3,6.2,56.3,Santa Gertrudis,1.7,57.6,2288.5,59.1,Powerful Ruler
74,0.6,18.3,5.4,56.5,0.6,0.3,51.8,2.4,4.1,598.2,1189.7,98.0,9.1,54.4,Santa Gertrudis,4.6,57.3,2234.8,67.7,Powerful Protector
75,0.5,17.0,4.4,60.1,0.5,0.4,57.0,2.2,3.0,955.8,803.3,94.8,2.9,60.4,Brangus,-1.5,58.4,1278.2,70.5,Powerful Guardian
76,0.6,13.3,6.1,62.6,0.6,0.2,60.2,1.8,-0.3,1050.9,954.8,90.1,3.0,51.2,Angus,6.1,66.0,2055.5,50.7,Powerful Alpha
77,0.2,16.6,5.3,60.7,0.9,0.2,58.4,2.8,-0.3,1015.0,551.9,104.3,2.5,59.5,Santa Gertrudis,3.8,67.2,2361.8,58.3,Powerful Powerhouse
78,0.6,14.9,3.8,56.2,1.2,0.3,64.8,3.3,3.3,977.7,729.8,70.0,4.2,56.8,Beefmaster,3.9,66.2,2357.2,67.1,Powerful Monster
79,0.8,15.8,6.0,58.2,0.8,0.3,51.8,2.7,2.9,1064.9,1313.7,109.2,6.9,49.9,Brangus,5.3,60.1,2322.3,42.1,Powerful Warrior
80,0.4,13.5,12.1,61.9,0.7,0.2,55.5,1.3,5.4,690.5,1086.0,95.6,7.5,61.0,Santa Gertrudis,4.7,67.1,2115.3,52.8,Powerful Warlord
81,0.5,14.4,7.8,59.7,1.1,0.4,60.5,2.4,1.7,775.4,738.8,84.7,-0.1,59.1,Santa Gertrudis,4.9,62.6,2017.4,73.9,Powerful Bruiser
82,0.4,17.3,2.7,57.6,0.9,0.2,60.3,2.9,-2.0,761.4,1159.4,83.0,5.8,48.8,Gelbvieh,4.9,50.3,2096.6,44.4,Powerful Brawler
83,0.4,15.1,4.4,60.1,1.0,0.3,63.5,2.6,2.8,946.7,1056.0,84.4,1.4,53.4,Hereford,2.2,66.1,2477.3,52.1,Powerful Gladiator
84,0.6,16.0,3.5,59.5,0.7,0.2,62.6,2.3,2.8,586.4,817.3,70.0,0.7,59.1,Beefmaster,4.3,65.5,1655.7,49.6,Powerful Giant
85,0.4,16.5,5.6,56.7,0.5,0.4,60.2,2.0,2.1,870.9,1041.0,103.5,1.0,59.6,Gelbvieh,4.5,58.5,2228.3,64.1,Powerful Colossus
86,0.5,16.1,6.9,61.3,0.4,0.3,54.6,2.6,-1.3,937.3,834.4,75.0,-0.0,48.0,Limousin,2.7,59.3,1661.8,27.0,Powerful Titan
87,0.4,15.3,6.7,58.4,0.5,0.3,60.2,2.7,2.7,871.6,776.8,89.4,4.1,56.5,Charolais,2.7,65.1,2216.8,46.8,Powerful Hulk
88,0.5,14.8,9.3,58.6,0.8,0.3,59.7,2.9,0.8,406.6,1134.3,110.5,-0.8,58.4,Santa Gertrudis,4.6,67.0,2198.6,79.5,Powerful Ram
89,0.7,17.2,2.6,58.9,0.8,0.3,68.7,3.1,2.9,371.9,899.1,108.6,3.3,54.1,Simmental,4.5,57.5,2158.6,57.7,Powerful Heifer
90,0.5,14.5,2.7,61.2,0.9,0.2,52.9,2.7,-1.3,988.9,1093.1,92.1,1.9,54.2,Simmental,4.0,54.9,1669.8,76.0,Powerful Buck
91,0.3,15.7,7.5,57.8,0.9,0.3,60.5,4.0,3.9,1047.0,800.0,89.0,5.8,52.7,Brangus,4.7,62.1,1909.3,41.9,Stalwart Bull
92,0.4,12.2,3.2,59.3,0.9,0.4,62.8,2.2,1.5,494.9,839.7,98.1,6.6,58.5,Beefmaster,4.4,59.6,1359.0,63.3,Stalwart Stallion
93,0.5,17.5,6.1,60.4,0.8,0.5,59.7,1.9,1.5,927.4,952.7,103.8,5.5,55.2,Charolais,4.5,63.7,2119.5,86.6,Stalwart Sire
94,0.5,15.3,7.2,57.4,1.3,0.3,57.1,1.3,-0.5,970.7,817.2,71.8,7.6,53.3,Beefmaster,4.7,62.5,1878.3,46.7,Stalwart Male
95,0.5,16.5,1.5,59.8,1.2,0.4,62.6,2.3,3.4,894.6,647.1,94.0,7.7,52.3,Brangus,5.3,62.2,2456.7,65.9,Stalwart Bullfighter
96,0.3,13.5,9.0,61.0,1.0,0.5,67.0,2.4,5.8,1093.9,1082.7,114.9,4.8,59.0,Simmental,5.4,59.4,2073.8,57.5,Stalwart Beast
97,0.5,15.2,6.7,60.9,1.3,0.3,55.6,2.8,2.7,989.2,749.4,110.0,3.6,51.8,Santa Gertrudis,6.4,62.1,2184.0,63.8,Stalwart Brute
98,0.5,13.4,7.9,57.5,0.8,0.1,59.3,3.1,1.5,1206.7,825.1,97.8,2.5,52.2,Hereford,2.8,50.9,2169.5,75.9,Stalwart Charger
99,0.5,15.4,8.5,56.1,0.6,0.3,56.0,2.6,-0.4,1151.8,951.6,115.2,2.1,50.9,Hereford,2.4,63.3,1265.0,56.9,Stalwart Dominator
100,0.6,14.4,12.7,61.7,1.3,0.2,64.6,2.7,3.6,837.0,960.7,80.2,1.2,55.4,Limousin,5.4,53.6,2233.4,72.7,Stalwart Leader
101,0.4,17.5,5.6,63.5,0.8,0.4,63.7,2.5,1.5,1031.8,1077.4,123.9,3.3,53.4,Hereford,3.9,62.6,1705.6,63.4,Stalwart Fighter
102,0.5,15.6,11.5,60.1,0.7,0.3,65.1,3.0,6.8,1101.7,887.7,109.6,6.9,57.9,Gelbvieh,1.6,48.9,1811.8,77.4,Stalwart Champion
103,0.5,12.6,1.5,60.2,1.3,0.3,62.2,2.2,2.9,1360.7,964.9,99.2,3.9,51.2,Hereford,5.1,66.3,2135.7,58.2,Stalwart Ruler
104,0.7,18.8,6.1,63.1,0.8,0.3,62.1,2.7,3.1,1027.3,923.4,78.2,0.2,54.1,Gelbvieh,2.2,56.6,1598.8,57.1,Stalwart Protector
105,0.4,17.3,5.9,62.8,1.2,0.2,60.4,3.2,3.1,666.8,804.3,81.5,4.3,51.3,Charolais,3.3,56.1,2346.9,54.6,Stalwart Guardian
106,0.6,17.3,8.7,59.4,0.9,0.3,55.0,1.8,3.4,951.7,878.8,90.1,4.6,59.9,Simmental,4.4,70.6,1848.9,56.4,Stalwart Alpha
107,0.5,15.5,7.9,59.7,0.4,0.5,58.1,2.1,0.5,745.4,1100.6,96.0,5.0,51.8,Beefmaster,3.7,60.4,2305.2,72.3,Stalwart Powerhouse
108,0.7,15.3,5.7,60.4,0.8,0.3,65.8,2.0,1.6,725.1,675.6,116.3,4.3,56.4,Brangus,5.9,62.2,2516.9,77.8,Stalwart Monster
109,0.6,11.9,3.3,59.8,0.7,0.4,57.8,3.0,0.9,512.8,837.0,91.2,1.4,54.5,Gelbvieh,3.7,55.8,2619.1,72.4,Stalwart Warrior
110,0.5,14.5,6.0,59.0,1.0,0.3,66.9,2.1,2.2,786.5,1134.1,108.5,1.6,56.3,Charolais,3.9,65.3,2081.6,79.3,Stalwart Warlord
111,0.4,14.5,9.4,59.8,1.2,0.2,57.1,2.7,2.7,698.0,717.0,94.8,6.3,55.1,Simmental,3.5,56.5,1696.3,62.5,Stalwart Bruiser
112,0.5,18.1,3.8,57.7,1.5,0.1,64.1,1.8,2.6,947.0,809.4,87.7,7.3,54.7,Beefmaster,1.9,57.7,1223.6,37.8,Stalwart Brawler
113,0.6,19.1,12.0,61.6,0.9,0.2,51.9,2.8,2.4,939.2,972.5,99.1,4.6,58.3,Simmental,6.6,64.2,2449.6,55.7,Stalwart Gladiator
114,0.4,14.3,5.0,61.5,0.5,0.5,56.6,2.5,1.0,988.7,737.9,104.0,7.3,60.4,Santa Gertrudis,2.0,58.3,2055.1,61.9,Stalwart Giant
115,0.5,13.2,1.9,59.5,0.7,0.4,65.4,3.7,6.1,976.0,754.1,75.4,4.0,50.9,Charolais,4.6,54.7,1621.2,50.8,Stalwart Colossus
116,0.4,13.9,5.2,61.9,1.0,0.3,55.6,2.7,-1.1,730.5,1023.4,95.8,4.0,55.8,Simmental,2.1,60.2,2011.3,44.6,Stalwart Titan
117,0.4,15.1,3.4,62.6,0.3,0.3,65.7,2.0,1.5,991.3,588.5,99.9,5.1,56.5,Hereford,2.3,65.2,1726.6,60.9,Stalwart Hulk
118,0.4,19.0,4.5,61.9,1.1,0.2,57.7,3.2,-1.0,743.5,831.6,84.8,2.7,57.3,Charolais,5.5,51.4,1897.8,43.6,Stalwart Ram
119,0.6,15.4,2.4,56.9,0.3,0.3,60.7,2.5,4.2,640.0,905.0,104.7,3.1,57.7,Santa Gertrudis,6.6,60.0,2439.5,31.8,Stalwart Heifer
120,0.5,13.6,5.0,64.1,0.8,0.3,58.5,2.9,2.0,899.5,1159.9,92.2,4.0,55.9,Angus,-0.9,58.4,1880.3,49.9,Stalwart Buck
121,0.6,11.8,6.1,59.0,0.9,0.2,62.9,3.5,4.0,980.4,894.0,82.9,3.4,55.8,Santa Gertrudis,2.6,54.6,2179.5,43.8,Mighty Bull
122,0.5,13.4,6.9,58.6,1.2,0.4,59.3,3.2,4.6,934.1,1220.2,101.6,2.4,54.4,Hereford,3.4,61.5,2271.3,55.6,Mighty Stallion
123,0.5,15.5,7.7,55.9,0.5,0.4,51.6,1.8,-0.7,814.1,795.9,84.9,5.5,52.1,Limousin,2.1,67.7,1733.3,38.1,Mighty Sire
124,0.4,16.5,5.1,61.2,0.7,0.3,58.6,2.2,-2.2,939.6,937.6,86.6,3.6,57.1,Brahman,3.2,63.9,1883.8,44.1,Mighty Male
125,0.3,14.8,4.4,57.4,0.8,0.3,54.7,2.6,0.6,748.5,567.6,101.1,2.4,51.8,Charolais,3.5,65.9,1503.5,40.0,Mighty Bullfighter
126,0.6,16.5,8.0,64.3,1.2,0.2,61.5,2.2,1.1,592.1,1120.2,90.7,5.8,52.7,Beefmaster,3.8,57.9,2161.5,52.7,Mighty Beast
127,0.7,16.1,5.8,63.6,1.2,0.3,65.0,2.1,-2.2,843.0,1030.3,83.8,6.7,58.1,Charolais,2.5,63.6,1865.6,37.1,Mighty Brute
128,0.4,15.7,3.3,63.2,1.3,0.2,66.8,3.1,3.0,1022.5,981.4,65.0,1.7,60.5,Beefmaster,5.4,64.7,1659.8,86.4,Mighty Charger
129,0.4,14.4,10.2,62.6,0.8,0.4,59.6,3.6,0.6,595.0,870.0,119.7,4.0,55.0,Santa Gertrudis,3.9,64.3,1508.7,72.6,Mighty Dominator
130,0.3,15.3,8.9,58.7,1.4,0.2,66.3,2.7,3.3,657.2,920.8,88.9,2.6,48.9,Angus,3.6,52.4,2266.8,73.2,Mighty Leader
131,0.5,14.6,8.8,61.8,1.4,0.2,63.1,2.4,3.0,650.2,796.1,95.9,2.4,51.1,Hereford,0.6,59.0,2298.1,59.9,Mighty Fighter
132,0.4,16.1,7.1,57.6,0.8,0.3,58.0,3.2,1.2,777.2,691.8,120.7,4.8,51.0,Charolais,4.3,57.5,2213.6,65.1,Mighty Champion
133,0.6,12.4,7.3,63.4,0.6,0.3,58.6,2.2,3.8,839.7,1043.0,91.4,4.5,51.8,Brahman,2.0,47.2,2559.3,46.9,Mighty Ruler
134,0.7,15.4,5.6,61.6,0.6,0.3,62.4,3.0,3.9,985.5,817.9,91.1,5.8,52.0,Hereford,2.1,55.7,1372.5,72.2,Mighty Protector
135,0.4,18.1,3.5,63.0,0.8,0.3,59.3,3.2,1.3,811.0,798.1,117.6,5.8,52.9,Brahman,5.3,73.1,2112.6,54.6,Mighty Guardian
136,0.5,16.5,2.7,59.3,0.8,0.3,60.9,2.2,5.1,658.9,675.7,78.3,3.3,53.3,Santa Gertrudis,3.3,54.2,1997.6,46.5,Mighty Alpha
137,0.6,12.7,11.2,63.8,1.0,0.6,57.1,2.3,1.2,748.3,1097.5,79.4,1.5,48.8,Simmental,3.7,61.5,2640.6,40.4,Mighty Powerhouse
138,0.6,14.8,2.6,59.2,1.2,0.3,61.7,2.1,3.5,708.6,1061.6,84.7,4.3,53.1,Brangus,4.5,61.1,2422.2,41.8,Mighty Monster
139,0.5,11.0,5.5,60.1,0.9,0.2,57.6,2.6,4.7,393.8,1126.7,98.4,4.7,55.2,Brahman,4.8,64.8,1684.6,57.9,Mighty Warrior
140,0.6,18.5,3.2,58.0,1.1,0.5,63.5,3.6,3.8,661.1,950.9,98.5,5.2,54.9,Beefmaster,1.3,58.2,2334.0,58.1,Mighty Warlord
141,0.4,16.1,6.9,62.8,0.8,0.5,65.6,2.2,3.1,903.8,966.0,80.1,2.6,55.2,Gelbvieh,4.2,62.1,2215.9,54.9,Mighty Bruiser
142,0.3,16.5,5.3,59.2,1.1,0.3,59.6,2.3,1.6,1154.0,740.7,94.6,6.3,56.2,Simmental,3.7,63.2,1745.9,63.0,Mighty Brawler
143,0.4,18.8,6.5,61.8,1.2,0.4,60.1,3.3,2.7,625.5,837.0,69.8,8.2,51.3,Charolais,6.1,61.7,1924.1,77.6,Mighty Gladiator
144,0.5,14.9,8.9,59.4,0.5,0.3,59.1,2.4,3.2,685.4,916.0,72.2,8.8,55.0,Hereford,5.7,60.5,2276.0,57.9,Mighty Giant
145,0.6,14.0,2.5,60.8,0.8,0.4,57.3,2.9,3.4,1188.0,1076.6,85.4,3.1,54.2,Angus,4.5,45.5,1594.3,57.0,Mighty Colossus
146,0.7,17.2,9.0,59.5,1.0,0.3,59.1,1.7,3.4,950.9,707.8,108.8,6.4,50.3,Hereford,4.5,58.1,2001.5,71.4,Mighty Titan
147,0.3,12.6,6.9,58.6,0.9,0.3,62.8,2.8,1.4,935.3,951.7,94.3,1.0,53.8,Brangus,4.4,61.0,1354.8,60.8,Mighty Hulk
148,0.5,14.3,7.4,57.5,1.0,0.5,63.9,2.2,0.2,1085.0,928.3,61.4,5.6,51.1,Beefmaster,4.1,58.6,1543.4,61.0,Mighty Ram
149,0.5,17.0,6.2,57.9,1.0,0.2,60.1,2.2,2.2,1046.9,1141.8,110.6,1.8,51.5,Beefmaster,4.0,51.1,2173.8,69.0,Mighty Heifer
150,0.5,15.6,9.3,60.9,0.7,0.2,61.9,2.8,-0.1,1119.7,1074.1,112.9,5.4,53.7,Angus,3.3,56.1,1850.9,45.9,Mighty Buck
151,0.5,14.6,8.3,62.1,0.9,0.4,64.9,3.0,3.8,469.6,904.7,113.2,2.0,58.1,Charolais,2.1,60.8,2011.8,66.7,Formidable Bull
